"time","price","millisec"
"090029",37070,"0000"
"090029",37095,"0001"
"090029",37080,"0002"
"090029",37100,"0003"
"090030",37090,"0000"
"090033",37075,"0000"
"090035",37100,"0000"
"090037",37070,"0000"
"090038",37100,"0000"
"090039",37055,"0000"
"090044",37045,"0000"
"090044",37060,"0001"
"090052",37055,"0000"
"090055",37045,"0000"
"090058",37040,"0000"
"090100",37035,"0000"
"090101",37040,"0000"
"090102",37055,"0000"
"090105",37075,"0000"
"090106",37090,"0000"
"090106",37070,"0001"
"090110",37045,"0000"
"090112",37065,"0000"
"090113",37045,"0000"
"090119",37070,"0000"
"090122",37050,"0000"
"090123",37070,"0000"
"090126",37045,"0000"
"090127",37070,"0000"
"090129",37055,"0000"
"090134",37070,"0000"
"090137",37050,"0000"
"090143",37045,"0000"
"090144",37040,"0000"
"090148",37045,"0000"
"090149",37040,"0000"
"090150",37030,"0000"
"090152",37025,"0000"
"090154",37015,"0000"
"090158",37000,"0000"
"090204",36995,"0000"
"090205",36990,"0000"
"090207",36970,"0000"
"090207",37000,"0001"
"090217",37010,"0000"
"090218",37000,"0000"
"090218",36990,"0001"
"090219",37020,"0000"
"090223",37005,"0000"
"090230",36990,"0000"
"090232",37005,"0000"
"090233",36995,"0000"
"090237",36990,"0000"
"090239",36970,"0000"
"090240",36950,"0000"
"090240",36945,"0001"
"090246",36980,"0000"
"090252",36950,"0000"
"090254",36965,"0000"
"090255",36950,"0000"
"090256",36970,"0000"
"090256",36965,"0001"
"090300",36950,"0000"
"090303",36965,"0000"
"090304",36950,"0000"
"090306",36945,"0000"
"090308",36940,"0000"
"090310",36950,"0000"
"090314",36945,"0000"
"090316",36950,"0000"
"090320",36965,"0000"
"090324",36950,"0000"
"090328",36960,"0000"
"090328",36962,"0001"
"090329",36970,"0000"
"090331",36960,"0000"
"090334",36950,"0000"
"090336",36940,"0000"
"090337",36935,"0000"
"090338",36930,"0000"
"090341",36925,"0000"
"090344",36910,"0000"
"090345",36935,"0000"
"090346",36920,"0000"
"090349",36915,"0000"
"090350",36900,"0000"
"090350",36890,"0001"
"090352",36875,"0000"
"090357",36870,"0000"
"090359",36865,"0000"
"090400",36875,"0000"
"090402",36865,"0000"
"090402",36885,"0001"
"090406",36877,"0000"
"090410",36865,"0000"
"090411",36877,"0000"
"090411",36880,"0001"
"090414",36875,"0000"
"090416",36865,"0000"
"090416",36870,"0001"
"090416",36865,"0002"
"090417",36860,"0000"
"090418",36855,"0000"
"090418",36850,"0001"
"090418",36852,"0002"
"090421",36870,"0000"
"090426",36865,"0000"
"090427",36870,"0000"
"090431",36900,"0000"
"090431",36905,"0001"
"090438",36920,"0000"
"090439",36940,"0000"
"090440",36945,"0000"
"090444",36940,"0000"
"090447",36930,"0000"
"090448",36925,"0000"
"090450",36940,"0000"
"090457",36925,"0000"
"090457",36940,"0001"
"090458",36925,"0000"
"090459",36940,"0000"
"090500",36950,"0000"
"090502",36940,"0000"
"090503",36950,"0000"
"090503",36970,"0001"
"090504",36975,"0000"
"090505",36980,"0000"
"090505",36990,"0001"
"090507",36970,"0000"
"090508",36945,"0000"
"090510",36985,"0000"
"090512",36955,"0000"
"090512",36950,"0001"
"090512",36975,"0002"
"090513",36955,"0000"
"090516",36960,"0000"
"090517",36980,"0000"
"090520",36995,"0000"
"090522",37000,"0000"
"090522",36990,"0001"
"090522",36995,"0002"
"090523",36990,"0000"
"090524",37005,"0000"
"090527",37010,"0000"
"090528",37000,"0000"
"090528",37025,"0001"
"090531",37000,"0000"
"090531",36995,"0001"
"090531",36980,"0002"
"090533",37010,"0000"
"090535",37005,"0000"
"090536",37010,"0000"
"090536",37005,"0001"
"090536",37010,"0002"
"090539",37000,"0000"
"090540",37020,"0000"
"090541",37010,"0000"
"090543",36985,"0000"
"090545",37010,"0000"
"090546",37020,"0000"
"090548",37025,"0000"
"090550",37020,"0000"
"090552",37030,"0000"
"090552",37025,"0001"
"090554",37030,"0000"
"090558",37020,"0000"
"090600",37030,"0000"
"090600",37020,"0001"
"090605",37010,"0000"
"090605",37015,"0001"
"090606",37020,"0000"
"090606",37010,"0001"
"090608",37020,"0000"
"090608",37010,"0001"
"090609",37020,"0000"
"090610",37015,"0000"
"090611",37010,"0000"
"090612",37015,"0000"
"090613",37020,"0000"
"090614",37015,"0000"
"090616",37005,"0000"
"090616",37010,"0001"
"090618",37005,"0000"
"090619",36995,"0000"
"090620",37010,"0000"
"090623",36985,"0000"
"090623",36975,"0001"
"090624",36980,"0000"
"090624",36975,"0001"
"090625",36960,"0000"
"090625",36975,"0001"
"090626",36970,"0000"
"090626",36975,"0001"
"090626",36970,"0002"
"090626",36965,"0003"
"090627",36970,"0000"
"090628",36955,"0000"
"090628",36960,"0001"
"090629",36950,"0000"
"090632",36945,"0000"
"090633",36960,"0000"
"090633",36970,"0001"
"090635",36955,"0000"
"090636",36980,"0000"
"090638",36975,"0000"
"090641",36955,"0000"
"090642",36970,"0000"
"090643",36975,"0000"
"090643",36970,"0001"
"090648",36980,"0000"
"090649",37000,"0000"
"090651",36970,"0000"
"090653",36980,"0000"
"090655",37000,"0000"
"090655",36990,"0001"
"090658",37005,"0000"
"090700",37000,"0000"
"090700",36990,"0001"
"090702",36980,"0000"
"090703",37005,"0000"
"090703",36990,"0001"
"090703",37010,"0002"
"090704",37020,"0000"
"090705",37025,"0000"
"090705",37010,"0001"
"090706",37020,"0000"
"090708",37030,"0000"
"090711",37035,"0000"
"090713",37025,"0000"
"090716",37030,"0000"
"090717",37025,"0000"
"090719",37015,"0000"
"090719",37010,"0001"
"090720",37025,"0000"
"090725",37010,"0000"
"090726",36995,"0000"
"090728",37010,"0000"
"090729",36995,"0000"
"090729",36990,"0001"
"090730",37000,"0000"
"090730",37005,"0001"
"090733",36980,"0000"
"090735",36970,"0000"
"090736",36990,"0000"
"090736",37000,"0001"
"090738",37005,"0000"
"090741",36980,"0000"
"090741",37010,"0001"
"090743",37005,"0000"
"090744",37010,"0000"
"090745",37025,"0000"
"090746",37010,"0000"
"090747",37015,"0000"
"090747",37030,"0001"
"090748",37025,"0000"
"090749",37020,"0000"
"090750",37015,"0000"
"090750",37010,"0001"
"090751",37035,"0000"
"090753",37020,"0000"
"090754",37015,"0000"
"090755",37020,"0000"
"090756",37000,"0000"
"090756",37020,"0001"
"090757",37015,"0000"
"090758",37010,"0000"
"090800",37015,"0000"
"090801",37010,"0000"
"090801",37000,"0001"
"090802",37015,"0000"
"090806",37020,"0000"
"090807",37030,"0000"
"090807",37020,"0001"
"090809",37010,"0000"
"090810",37030,"0000"
"090811",37020,"0000"
"090811",37010,"0001"
"090812",37035,"0000"
"090812",37015,"0001"
"090814",37020,"0000"
"090818",37010,"0000"
"090819",37020,"0000"
"090823",37010,"0000"
"090824",37020,"0000"
"090828",37010,"0000"
"090829",37005,"0000"
"090829",36995,"0001"
"090831",37000,"0000"
"090833",36980,"0000"
"090833",36990,"0001"
"090835",36985,"0000"
"090837",36975,"0000"
"090837",37005,"0001"
"090842",37010,"0000"
"090842",37020,"0001"
"090843",37015,"0000"
"090843",36975,"0001"
"090845",37005,"0000"
"090845",37015,"0001"
"090847",37010,"0000"
"090848",37005,"0000"
"090848",37010,"0001"
"090848",37020,"0002"
"090850",37010,"0000"
"090855",36985,"0000"
"090857",37010,"0000"
"090858",37020,"0000"
"090901",37010,"0000"
"090901",37030,"0001"
"090903",37015,"0000"
"090905",37010,"0000"
"090905",37015,"0001"
"090907",37020,"0000"
"090907",37035,"0001"
"090911",37015,"0000"
"090913",37020,"0000"
"090915",37040,"0000"
"090916",37045,"0000"
"090918",37035,"0000"
"090919",37040,"0000"
"090920",37050,"0000"
"090921",37040,"0000"
"090922",37035,"0000"
"090923",37055,"0000"
"090926",37035,"0000"
"090927",37045,"0000"
"090928",37050,"0000"
"090929",37060,"0000"
"090930",37050,"0000"
"090932",37035,"0000"
"090933",37050,"0000"
"090934",37055,"0000"
"090934",37045,"0001"
"090937",37035,"0000"
"090937",37030,"0001"
"090938",37025,"0000"
"090943",37045,"0000"
"090943",37050,"0001"
"090945",37025,"0000"
"090952",37030,"0000"
"090953",37027,"0000"
"090954",37030,"0000"
"090955",37050,"0000"
"090957",37030,"0000"
"090958",37050,"0000"
"091000",37030,"0000"
"091000",37050,"0001"
"091002",37035,"0000"
"091004",37040,"0000"
"091004",37055,"0001"
"091005",37040,"0000"
