"time","millisec","HOUR_CLS_CODE","ASKP1","ASKP2","ASKP3","ASKP4","ASKP5","ASKP6","ASKP7","ASKP8","ASKP9","ASKP10","BIDP1","BIDP2","BIDP3","BIDP4","BIDP5","BIDP6","BIDP7","BIDP8","BIDP9","BIDP10","ASKP_RSQN1","ASKP_RSQN2","ASKP_RSQN3","ASKP_RSQN4","ASKP_RSQN5","ASKP_RSQN6","ASKP_RSQN7","ASKP_RSQN8","ASKP_RSQN9","ASKP_RSQN10","BIDP_RSQN1","BIDP_RSQN2","BIDP_RSQN3","BIDP_RSQN4","BIDP_RSQN5","BIDP_RSQN6","BIDP_RSQN7","BIDP_RSQN8","BIDP_RSQN9","BIDP_RSQN10","TOTAL_ASKP_RSQN","TOTAL_BIDP_RSQN","OVTM_TOTAL_ASKP_RSQN","OVTM_TOTAL_BIDP_RSQN","ANTC_CNPR","ANTC_CNQN","ANTC_VOL","ANTC_CNTG_VRSS","ANTC_CNTG_VRSS_SIGN","ANTC_CNTG_PRDY_CTRT","ACML_VOL","TOTAL_ASKP_RSQN_ICDC","TOTAL_BIDP_RSQN_ICDC","OVTM_TOTAL_ASKP_ICDC","OVTM_TOTAL_BIDP_ICDC","STCK_DEAL_CLS_CODE","KMID_PRC","KMID_TOTAL_RSQN","KMID_CLS_CODE","NMID_PRC","NMID_TOTAL_RSQN","NMID_CLS_CODE"
"080000","0000","0","606000","607000","609000","0","0","0","0","0","0","0","560000","520000","0","0","0","0","0","0","0","0","1","1","2","0","0","0","0","0","0","0","3","50","0","0","0","0","0","0","0","0","4","53","0","0","0","0","0","-600000","5","-100.00","0","0","0","0","0","","0","0","0","","",""
"080000","0001","0","600000","606000","607000","609000","616000","620000","681000","690000","0","0","582000","560000","540000","520000","0","0","0","0","0","0","30","1","1","2","52","16","43","5","0","0","26","3","1","50","0","0","0","0","0","0","150","80","0","0","0","0","0","-600000","5","-100.00","0","146","27","0","0","","0","0","0","","",""
"080001","0000","0","600000","605000","606000","607000","609000","615000","616000","620000","632000","635000","587000","583000","582000","580000","560000","540000","534000","520000","0","0","30","2","1","1","2","2","52","16","100","5","2","5","27","10","3","11","1","50","0","0","211","109","0","0","0","0","0","-600000","5","-100.00","0","61","29","0","0","","0","0","0","","",""
"080001","0001","0","600000","602000","603000","604000","605000","606000","607000","609000","615000","616000","588000","587000","586000","584000","583000","582000","580000","560000","546000","540000","30","1","1","1","3","1","21","2","2","52","1","3","2","1","5","28","11","4","14","11","114","80","0","0","0","0","0","-600000","5","-100.00","0","-97","-29","0","0","","0","0","0","","",""
"080002","0000","0","600000","602000","603000","604000","605000","606000","607000","609000","615000","616000","596000","588000","587000","586000","584000","583000","582000","580000","560000","546000","52","1","1","1","3","1","21","2","2","52","30","1","3","2","1","5","28","11","4","14","136","99","0","0","0","0","0","-600000","5","-100.00","18","22","19","0","0","","0","0","0","","",""
"080002","0001","0","600000","602000","603000","604000","605000","606000","607000","609000","615000","616000","596000","588000","587000","586000","584000","583000","582000","580000","560000","553000","52","1","1","1","3","19","21","2","26","52","30","3","3","3","1","5","28","11","4","1","178","89","0","0","0","0","0","-600000","5","-100.00","18","42","-10","0","0","","0","0","0","","",""
"080002","0002","0","600000","602000","603000","604000","605000","606000","607000","609000","611000","612000","596000","588000","587000","586000","584000","583000","582000","580000","560000","553000","52","1","1","1","3","19","21","2","9","9","30","3","3","3","1","5","28","11","4","1","118","89","0","0","0","0","0","-600000","5","-100.00","18","-60","0","0","0","","0","0","0","","",""
"080003","0000","0","600000","602000","603000","604000","605000","606000","607000","609000","611000","612000","596000","590000","588000","587000","586000","584000","583000","582000","580000","578000","146","1","1","1","3","19","21","2","9","9","30","3","3","3","3","1","5","28","11","10","212","97","0","0","0","0","0","-600000","5","-100.00","18","94","8","0","0","","0","0","0","","",""
"080003","0001","0","600000","602000","603000","604000","605000","606000","607000","609000","611000","612000","596000","590000","588000","587000","586000","584000","583000","582000","580000","578000","146","1","1","1","12","19","21","2","9","9","30","3","3","3","3","52","5","28","11","10","221","148","0","0","0","0","0","-600000","5","-100.00","18","9","51","0","0","","0","0","0","","",""
"080004","0000","0","600000","602000","603000","604000","605000","606000","607000","609000","611000","612000","596000","590000","588000","587000","586000","584000","583000","582000","580000","578000","106","1","1","1","10","19","21","2","9","9","30","3","3","4","3","52","5","28","11","30","179","169","0","0","0","0","0","-600000","5","-100.00","58","-42","21","0","0","","0","0","0","","",""
"080004","0001","0","600000","602000","603000","604000","605000","606000","607000","608000","609000","611000","596000","590000","589000","588000","587000","586000","584000","583000","582000","580000","108","1","2","1","10","19","21","1","2","9","30","3","1","3","4","3","52","5","28","12","174","141","0","0","0","0","0","-600000","5","-100.00","58","-5","-28","0","0","","0","0","0","","",""
"080004","0002","0","600000","602000","603000","604000","605000","606000","607000","608000","609000","611000","596000","590000","589000","588000","587000","586000","584000","583000","582000","580000","108","1","2","1","10","19","21","1","2","9","30","3","1","2","4","3","52","5","28","12","174","140","0","0","0","0","0","-600000","5","-100.00","58","0","-1","0","0","","0","0","0","","",""
"080005","0000","0","600000","602000","603000","604000","605000","606000","607000","608000","609000","611000","596000","590000","589000","588000","587000","586000","584000","583000","582000","580000","107","2","2","1","10","19","21","1","2","9","30","3","1","2","4","3","52","5","28","12","174","140","0","0","0","0","0","-600000","5","-100.00","59","1","0","0","0","","0","0","0","","",""
"080006","0000","0","600000","602000","603000","604000","605000","606000","607000","608000","609000","610000","596000","590000","589000","588000","587000","586000","584000","583000","582000","580000","107","2","2","1","10","19","21","2","2","1","30","3","1","2","4","3","52","5","28","12","167","140","0","0","0","0","0","-600000","5","-100.00","59","-7","0","0","0","","0","0","0","","",""
"080006","0001","0","600000","602000","603000","604000","605000","606000","607000","608000","609000","610000","596000","590000","589000","588000","587000","586000","584000","583000","582000","580000","106","2","2","1","10","19","21","2","2","2","30","3","1","2","4","3","52","5","28","12","167","140","0","0","0","0","0","-600000","5","-100.00","60","-1","0","0","0","","0","0","0","","",""
"080007","0000","0","600000","602000","603000","604000","605000","606000","607000","608000","609000","610000","596000","590000","589000","588000","587000","586000","584000","583000","582000","580000","106","2","2","1","10","19","21","2","2","2","30","3","1","2","4","3","52","5","28","13","167","141","0","0","0","0","0","-600000","5","-100.00","60","0","1","0","0","","0","0","0","","",""
"080007","0001","0","600000","602000","603000","604000","605000","606000","607000","608000","609000","610000","596000","590000","589000","588000","587000","586000","584000","583000","582000","580000","106","2","2","1","10","19","21","2","2","2","30","3","31","2","4","3","52","5","28","13","167","171","0","0","0","0","0","-600000","5","-100.00","60","0","30","0","0","","0","0","0","","",""
"080007","0002","0","600000","602000","603000","604000","605000","606000","607000","608000","609000","610000","596000","591000","590000","589000","587000","586000","584000","583000","582000","580000","106","2","2","1","10","19","21","2","2","2","30","2","3","31","4","3","52","5","28","13","167","171","0","0","0","0","0","-600000","5","-100.00","60","0","0","0","0","","0","0","0","","",""
"080008","0000","0","600000","602000","603000","604000","605000","606000","607000","608000","609000","610000","596000","591000","590000","589000","587000","586000","584000","583000","582000","580000","106","2","2","1","10","19","21","2","2","2","30","4","3","31","4","3","52","5","28","13","167","173","0","0","0","0","0","-600000","5","-100.00","60","0","2","0","0","","0","0","0","","",""
"080008","0001","0","600000","602000","603000","604000","605000","606000","607000","608000","609000","610000","596000","591000","590000","589000","587000","586000","584000","583000","582000","580000","115","2","2","1","10","19","21","2","2","2","30","4","4","31","4","3","52","5","28","13","176","174","0","0","0","0","0","-600000","5","-100.00","60","0","1","0","0","","0","0","0","","",""
"080009","0000","0","600000","602000","603000","604000","605000","606000","607000","608000","609000","610000","596000","591000","590000","589000","587000","586000","584000","583000","582000","580000","115","2","2","1","10","19","21","2","2","17","30","4","4","31","4","3","52","5","28","13","191","174","0","0","0","0","0","-600000","5","-100.00","60","15","0","0","0","","0","0","0","","",""
