stock_code,date,close,index_name
069500,20260424,98000,KODEX KOSPI 200
229200,20260424,20295,KODEX KOSDAQ 150
278530,20260424,35295,KODEX KOSPI 200TR
292150,20260424,34215,TIGER 코리아TOP10
379800,20260424,23970,KODEX 미국 S&P500
379810,20260424,26550,KODEX 미국 나스닥100
458730,20260424,14775,TIGER 미국배당 SCHD
465580,20260424,24200,ACE 미국빅테크TOP7
069500,20260427,100240,KODEX KOSPI 200
229200,20260427,20670,KODEX KOSDAQ 150
278530,20260427,36095,KODEX KOSPI 200TR
292150,20260427,34820,TIGER 코리아TOP10
379800,20260427,23940,KODEX 미국 S&P500
379810,20260427,26715,KODEX 미국 나스닥100
458730,20260427,14655,TIGER 미국배당 SCHD
465580,20260427,24460,ACE 미국빅테크TOP7
069500,20260428,100700,KODEX KOSPI 200
229200,20260428,20415,KODEX KOSDAQ 150
278530,20260428,36265,KODEX KOSPI 200TR
292150,20260428,35035,TIGER 코리아TOP10
379800,20260428,23985,KODEX 미국 S&P500
379810,20260428,26660,KODEX 미국 나스닥100
458730,20260428,14640,TIGER 미국배당 SCHD
465580,20260428,24480,ACE 미국빅테크TOP7
069500,20260429,101045,KODEX KOSPI 200
229200,20260429,20490,KODEX KOSDAQ 150
278530,20260429,36550,KODEX KOSPI 200TR
292150,20260429,35195,TIGER 코리아TOP10
379800,20260429,23885,KODEX 미국 S&P500
379810,20260429,26600,KODEX 미국 나스닥100
458730,20260429,14720,TIGER 미국배당 SCHD
465580,20260429,24540,ACE 미국빅테크TOP7
069500,20260430,99905,KODEX KOSPI 200
229200,20260430,19855,KODEX KOSDAQ 150
278530,20260430,36165,KODEX KOSPI 200TR
292150,20260430,34730,TIGER 코리아TOP10
379800,20260430,23870,KODEX 미국 S&P500
379810,20260430,26645,KODEX 미국 나스닥100
458730,20260430,14780,TIGER 미국배당 SCHD
465580,20260430,24545,ACE 미국빅테크TOP7
069500,20260503,99905,KODEX KOSPI 200
229200,20260503,19855,KODEX KOSDAQ 150
278530,20260503,36165,KODEX KOSPI 200TR
292150,20260503,34730,TIGER 코리아TOP10
379800,20260503,23870,KODEX 미국 S&P500
379810,20260503,26645,KODEX 미국 나스닥100
458730,20260503,14780,TIGER 미국배당 SCHD
465580,20260503,24545,ACE 미국빅테크TOP7
069500,20260504,105295,KODEX KOSPI 200
229200,20260504,20175,KODEX KOSDAQ 150
278530,20260504,38070,KODEX KOSPI 200TR
292150,20260504,36225,TIGER 코리아TOP10
379800,20260504,23970,KODEX 미국 S&P500
379810,20260504,26945,KODEX 미국 나스닥100
458730,20260504,14845,TIGER 미국배당 SCHD
465580,20260504,24500,ACE 미국빅테크TOP7
